Year ,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Classification: Exploitation/Exploration,Age since 2013,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2008,Kappos; A.; & Rivard; S. (2008). A THREE-PERSPECTIVE MODEL OF CULTURE; INFORMATION SYSTEMS; AND THEIR DEVELOPMENT AND USE. MIS Quarterly; 32(3); 601_634.,1,3,Organization,"Develops a conceptualization of how culture influences, and is influenced by, IS development, use, and the IS itself. ",Ensemble,Technology as embedded system,Literature on culture/Structuration Theory,Organization,47,24,17,24,0.71,Exploitation,5,,,,,,,,,,,,,,,,,,,,,2,9,4,5,4
2006,Banker; R. D.; Bardhan; I.; and Asdemir; O. 2006. ÒUnderstanding the Impact of Collaboration Software on Product Design and Development;Ó Information Systems Research (17:4); pp. 352_373.,1,2,Group,"Examines the effect of collaboration software on product quality and cost, mediated by product design cycle time and collaboration",Tool,Technology as performance,Media richness theory and collaboration theory,Group,58,24,11,24,0.46,Exploitation,7,,,,,,,,,,,,,,,,,,1,,,5,5,6,7,
2011,Tallon; P.; and Pinsonneault; A. 2011. ÒCOMPETING PERSPECTIVES ON THE LINK BETWEEN STRATEGIC INFORMATION TECHNOLOGY ALIGNMENT AND ORGANIZATIONAL AGILITY: INSIGHTS FROM A MEDIATION MODEL;Ó MIS Quarterly (35:2); pp. 463_486.,1,,Organization,"""Whether alignment helps or hurts agility is an unresolved issue. This paper presents a variety of arguments from the literature that alternately predict a positive or negative relationship between alignment and agility. This relationship is then tested using a model in which agility mediates the link between alignment and firm performance under varying conditions of IT infrastructure flexibility and environmental volatility.""",Proxy,Technology as Perception,Alignment/Agility,Organization,,24,13,24,0.54,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,4,9,11
2001,Raghunathan; S.; & Yeh; A. B. (2001). Beyond EDI: Impact of Continuous Replenishment Program (CRP) Between a Manufacturer and Its Retailers. Information Systems Research; 12(4); 406_419. doi:10.1287/isre.12.4.406.9701,1,2,Organization,"Explains how Electronic Data Interchange affects Continuous Replenishment Programs (CRP). CRP is shown to benefit manufacturer and participant retailers, while improved forecasting benefits the manufacturer. IV's: retailer demands number of retailers participating in CRP, base demand of participant retailers, DV's: value of continuous replacement program (CRP)",Tool,Technology as productivity,Electronic Data Interchange Theory (EDI),Market,71,19,2,23,0.09,Exploration,12,,,,,,,,,,,,,,2,2,,1,4,2,2,2,1,4,1,2
2007,Tanriverdi; H.; Konana; P.; and Ge; L. 2007. ÒThe Choice of Sourcing Mechanisms for Business Processes;Ó Information Systems Research (18:3); pp. 280_299.,1,3,Organization,Builds a model for predicting and explaining sourcing mechanisms dependent on the level of modularity and IT detachability.,Tool,Technology as enhancer/productivity,Modular systems theory,Organization,65,23,14,23,0.61,Exploration,6,,,,,,,,,,,,,,,,,,,,3,6,4,3,7,
2009,Fuller; R. M.; and Dennis; A. R. 2009. ÒDoes Fit Matter? The Impact of Task-Technology Fit and Appropriation on Team Performance in Repeated Tasks;Ó Information Systems Research (20:1); pp. 2_17.,1,3,Group,Examines task-technology fit as a predictor of appropriation over time. Finds that FAM only predicts initial usage.,Tool,Technology as performance,Fit-Appropriation Model (FAM),Group,39,23,10,23,0.43,Exploration,4,,,,,,,,,,,,,,,,,,,,,4,8,3,7,1
2008,Santhanam; R.; Sasidharan; S.; and Webster; J. 2008. ÒUsing Self-Regulatory Learning to Enhance E-Learning-Based Information Technology Training;Ó Information Systems Research (19:1); pp. 26_47.,1,1,Individual,Self-regulatory learning strategies increase learning outcomes in e-learning environments. ,Nominal,Technology as absent,Technology-Mediates Learning (TML),Individual,35,23,9,23,0.39,Exploitation,5,,,,,,,,,,,,,,,,,,,,4,5,5,4,3,2
1998,Jain; H.; Ramamurthy; K.; Ryu; H.; and Yasai-Ardekani; M. 1998. ÒSuccess of Data Resource Management in Distributed Environments: An Empirical Investigation;Ó MIS quarterly (March); pp. 1_29.,1,,Organization,"centralization of IS decisions, concentration of IS resources, intersite data dependence, DRM-related autonomy all leads to fit, which then leads to DRM success",Proxy,Technology as Perception,Data Resource Management Theory,Organization,,15,12,23,0.52,Exploration,15,,,,,,,,,1,,1,,,3,3,1,5,2,4,,,1,1,1,
1997,Mason; R. O.; McKenney; J. L.; & Copeland; D. G. (1997). Developing an Historical Tradition in MIS Research.ÊMIS Quarterly;Ê21(3); 257-278.,0,,Organization,Developes a framework for historical IS research,Ensemble,Technology as embedded system,,,,14,18,22,0.82,-,16,,,,,,,,,,1,2,,3,1,1,,1,1,1,2,1,2,3,2,1
2010,Beaudry; A.; and Pinsonneault; A. 2010. ÒTHE OTHER SIDE OF ACCEPTANCE: STUDYING THE DIRECT AND INDIRECT EFFECTS OF EMOTIONS ON INFORMATION TECHNOLOGY USE;Ó MIS Quarterly (34:4); pp. 689_710.,1,3,Individual,"Develops a framework of emotions and empirically tests the relationships between four emotions (excitement, happiness, anger and anxiety) and IT use (extent of use). ",Proxy,Technology as Perception,Coping model of user adaptation/Appraisal theory,Individual,35,22,11,22,0.5,Exploration,3,,,,,,,,,,,,,,,,,,,,,,2,7,7,6
2007,Dewan; S.; and Ren; F. 2007. ÒRisk and Return of Information Technology Initiatives: Evidence from Electronic Commerce Announcements;Ó Information Systems Research (18:4); pp. 370_394.,1,,Market,"""risk effects associated with elec- tronic commerce announcements, contributing to the emerging research on the riskiness of IT investments and the trade-off between risk and return in the information systems literature. We estimate a generalized event study model that allows for both systematic and unsystematic risk changes on data collected for electronic com-merce announcements in the 1996-2002 time frame. A striking result emerging from our analysis is that wealth effects are not significant after controlling for contemporaneous risk changes.""",Nominal,Technology as absent,IT investments and risk,Market,,22,13,22,0.59,Exploitation,6,,,,,,,,,,,,,,,,,,,,,,4,8,7,3
1994,Zigurs; l.; & Kenneth; A. (1994). An Exploratory Study of Roles in Computer-Supported Groups.ÊMIS Quarterly;Ê18(3); 277-297.,1,,Individual,Exploratory field study of the roles which individuals take on in computer-supported groups.,Nominal,Technology as absent,role theory,individual/group,,8,9,21,0.43,Exploitation,19,,,,,,,2,2,1,,2,1,1,2,2,,2,,1,,2,2,1,,
1995,Sprague Jr.; R. H. (1995). Electronic Document Management: Challenges and Opportunities for Information Systems Managers.ÊMIS Quarterly;Ê19(1); 29-49.,0,,Technical, Develops the concept of an electronic document,Ensemble,Technology as embedded system,Definitions of document,Technical,,8,12,19,0.63,Exploration,18,,,,,,1,1,1,2,,2,1,1,,2,,,1,,2,1,1,1,1,1
2008,Ragu-Nathan; T. S.; Tarafdar; M.; Ragu-Nathan; B. S.; and Tu; Q. 2008. ÒThe Consequences of Technostress for End Users in Organizations: Conceptual Development and Empirical Validation;Ó Information Systems Research (19:4); pp. 417_433.,1,3,Individual,"Examines the effect of technostress on job satisfaction, organizational- and continuance commitment",Proxy,Technology as perception,Transaction-based model of stress,individual,34,19,9,19,0.47,Exploration,5,,,,,,,,,,,,,,,,,,,,,2,5,4,7,1
2010,Rai; A.; and Tang; X. 2010. ÒLeveraging IT Capabilities and Competitive Process Capabilities for the Management of Interorganizational Relationship Portfolios;Ó Information Systems Research (21:3); pp. 516_542.,1,2,Market,"Tries to explain competitive performance through structural IT capabilities and process factors, along with IR portfolio concentration and environmental turbulence.",Nominal,Technology as absent,Competitive dynamics perspective,Market,12,19,9,19,0.47,Exploration,3,,,,,,,,,,,,,,,,,,,,,,2,2,10,5
1996,Weber; R. 1996. ÒAre Attributes Entities? A Study of Database DesignersÕ Memory Structures;Ó Information Systems Research (7:2); pp. 137_162.,1,,Individual,"""To sharpen the focus of the debate, a multi-trial free-recall experiment was conducted with database designers who had been trained primarily in a binary conceptual schema design meth- odology. In the experiment, the designers were first shown conceptual schema diagrams basl'd on a binary model. The designers were then asked to recall the diagrams. Throughout their training as designers, they had been admonished to eschew any distinction between entities and attnbutes Moreover, the diagrams they were shown in the experiment did not make a distinction between entities and attributes. Their recall protocols seemed to show, however, that they were considering some elements of the diagrams to be entities and others to be attributes. Their memory structures appear to reflect, therefore, that they perceive entities and attributes to be two distinct constructs.""",Proxy,Technology as Perception,Database theory+perceptions,Individual,,16,8,19,0.42,Exploration,17,,,,,,,,,,1,,1,1,,,4,3,1,1,1,1,1,3,,1
2006,Nissen; M.; and Sengupta; K. 2006. ÒIncorporating Software Agents into Supply Chains: Experimental Investigation with a Procurement Task;Ó MIS Quarterly (30:1); pp. 145_166.,1,2,Individual,"The authors take an experimental approach to to examine the capabilities and limitations of software agent technology for computer-based decision support and automation in the context of procurement.  IVs: Use of information retrieval agents, use of performative agents; DVs: procurement economy, accuracy",Tool,"Technology as productivity, performance, enhancer",(Agent) Behavioral Decision Theory,Individual,46,19,3,19,0.16,Exploitation,7,,,,,,,,,,,,,,,,,1,1,4,2,3,3,4,1,
2009,Mithas; S.; and Krishnan; M. S. 2009. ÒFrom Association to Causation via a Potential Outcomes Approach;Ó Information Systems Research (20:2); pp. 295_313.,1,2,Market,Builds a model for assessing causality and distinguishing it from association using a potential outcomes approach. No specific IT context.,Nominal,Technology as absent,Econometrics,Market,27,19,9,19,0.47,Exploitation,4,,,,,,,,,,,,,,,,,,,,1,2,1,5,8,2
2010,Tiwana; A.; and Konsynski; B. 2010. ÒComplementarities Between Organizational IT Architecture and Governance Structure;Ó Information Systems Research (21:2); pp. 288_304.,1,1,Organization,"Explains IT alignment in organizations through the antecedents IT architecture modularity, IT governance decentralization, and IT agility.",Tool,Technology as performance,Modular systems theory,Organization,22,19,13,19,0.68,Exploitation,3,,,,,,,,,,,,,,,,,,,,,1,,4,10,4
1994,Cats-Baril; W. L.; & Jelassi; T. (1994). The French Videotex System Minitel: A Successful Implementation of a National Information Technology Infrastructure.ÊMIS Quarterly;Ê18(1); 1-20.,1,,Organization/Government/national level,Descriptive case study of the development of a national IS system,Ensemble,Technology as Development Project,,,,6,9,17,0.53,-,19,,,,,1,,1,2,2,1,2,1,,1,,,,2,1,,2,,,,1
1994,Model Integration Using Metagraphs,1,2,Organization,Shows how metagraphs can be used to facilitate model integration,Computational , Model,Model integration & metagraphs,Organization,58,4,5,16,0.31,Exploitation,19,,,,,,1,1,3,2,1,1,,2,1,,,1,1,,1,,1,,,
1999,Smith; H.; and Hasnas; J. 1999. ÒETHICS AND INFORMATION SYSTEMS: THE CORPORATE DOMAIN;Ó MIS Quarterly (23:1); pp. 109_127.,1,-,Organization,"Applies stockholder theory, stakeholder theory, and social contract theory to Blockbuster",Nominal,Technology as absent,"stockholder theory, stakeholder theory, and social contract theory",Organization,82,12,8,16,0.5,Exploitation,14,,,,,,,,,,,1,2,1,,,,1,,,1,4,2,1,2,1
2003,Basu; A.; and Blanning; R. 2003. ÒSynthesis and decomposition of processes in organizations;Ó Information Systems Research (14:4); pp. 337_355.,1,1,Organization,"absent - describes a theory for describing synthesis and decomposition of work processes. These may or may not be IT-enabled, but this is not described in the article",Nominal,Technology as absent,"Metagraphs (Basu and Blanning 1994a,b; 1998; 2000)",Organization,73,14,4,15,0.27,Exploration,10,,,,,,,,,,,,,,,1,,1,2,1,,2,2,4,2,
1996,Alternative Securities Trading Systems: Tests and Regulatory Implications of the Adoption of Technology,1,2,Market,"Examines, through experimenation and simulation of different types of electronic trading systems",Nominal ,Technology as absent,Economic theory,Market,49,8,8,15,0.53,Exploitation,17,,,,,,,,2,1,2,2,,,,,,2,,3,1,1,,,1,
2000,Lim; K.; Benbasat; I.; and Ward; L. 2000. ÒThe Role of Multimedia in Changing First Impression Bias;Ó Information Systems Research (11:2); pp. 115_136.,1,2,Individual,Examines through experiment the multimedia impact on first impression bias,Nominal,Technology as absent,First impression bias,Individual,52,11,5,15,0.33,Exploitation,13,,,,,,,,,,,,1,1,2,,3,,,,4,1,,1,1,1
2011,Tsai; J. Y.; Egelman; S.; Cranor; L.; and Acquisti; A. 2011. ÒThe Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study;Ó Information Systems Research (22:2); pp. 254_268.,1,2,Individual,"Examines how different levels of privacy in privacy policies on e-commerce websites can affect a buyer's purchasing habits - i.e. paying premium for privacy, buying more or less.",Tool,Information Processing,Consumer privacy theory,Individual,84,15,6,15,0.4,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,4,6,5
1998,Nidumolu; S.; and Knotts; G. 1998. ÒThe Effects of Customizability and Reusability on Perceived Process and Competitive Performance of Software Firms;Ó MiS Quarterly (June).,1,-,Organization,"Tests a model of how customizability, reusability, process flexibility, and process predictability affects competitive performance",Ensemble,Technology as Development Project,software development theory,Organization,62,9,6,14,0.43,Exploration,15,,,,,,,,,,,,,,2,,2,3,2,2,,,,,,
2009,Harris; M. L.; Collins; R. W.; and Hevner; A. R. 2009. ÒControl of Flexible Software Development Under Uncertainty;Ó Information Systems Research (20:3); pp. 400_419.,1,2,Organization,"How does market- and technology uncertainty lead to plan-driven development, controlled-flexible development or ad-hoc development, which in turn impacts product-market match in the context of software development",Ensemble,Technology as development project,Dynamic capabilities theory and control theory,Organization,26,14,11,14,0.79,Exploitation,4,,,,,,,,,,,,,,,,,,,,2,,2,4,5,1
2011,Wells; J.; Valacich; J.; and Hess; T. 2011. ÒWHAT SIGNAL ARE YOU SENDING? HOW WEBSITE QUALITY INFLUENCES PERCEPTIONS OF PRODUCT QUALITY AND PURCHASE INTENTIONS;Ó MIS Quarterly (35:2); pp. 373_396.,1,2,Individual,"Simple application of signalling theory to the context of B2C ecommerce. IVs : product information asymmetries; web site quality, signal credibility mediated by perceived product quality. DV=Intention to purchase",Proxy,Technology as Perception,Signalling Theory,Individual,15,14,8,14,0.57,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,4,8,2
1999,Reich; B.; and Kaarst-Brown; M. 1999. ÒÔSEEDING THE LINEÕ: UNDERSTANDING THE TRANSITION FROM IT TO NON-IT CAREERS;Ó MIS Quarterly (23:3); pp. 337_364.,1,,Individual,"""The conclusion from the findings is that IT pro- fessionals who moved to non-IT jobs in the line made the transition without the benefit of delib- erate preparation, formal transition programs, or safety nets to reduce the risk. Some conditions existed at The Mutual Group that may have assisted them, including good relations between IT and the line, friends and mentors in line units, and a willingness to take risks in pursuit of new challenges.""",Nominal,Technology as absent,Multiple IT/work relationship frameworks,Organization,,9,12,14,0.86,Exploitation,14,,,,,,,,,,,,,2,3,,1,,,,1,1,2,3,,1
2010,Thomas; D.; and Bostrom; R. 2010. ÒVital signs for virtual teams: an empirically developed trigger model for technology adaptation interventions;Ó MIS Quarterly (34:1); pp. 115_142.,1,3,Group,"Draws on (rather than applies) adaptive structuration theory, and applies a critical incident method approach, to develop an empirically grounded framework for identifying the signs or triggers necessary for managing technology adaptations in virtual teams. ",Ensemble,Technology as structure,Adaptive structuration theory,Group,22,13,5,13,0.38,Exploration,3,,,,,,,,,,,,,,,,,,,,,1,4,5,1,2
2008,Parsons; J.; and Wand; Y. 2008. ÒUSING COGNITIVE PRINCIPLES TO GUIDE CLASSIFICATION IN INFORMATION SYSTEMS MODELING;Ó MIS Quarterly (32:4); pp. 839_868.,0,0,Artifact,Design science study that develops design rules for evaluating and refining classes in information systems modeling. ,Computational,Model,NA,NA,25,13,9,13,0.69,-,5,,,,,,,,,,,,,,,,,,,,1,3,,3,5,1
1996,Inductive Model Analysis Systems: Enhancing Model Analysis in Decision Support Systems,1,3,Technical,Builds a framework for inductive model analysis systems,Computational , model,"cognitive science, DSS, model management systems",Technical,27,4,3,12,0.25,Exploration,17,,,,,,,,1,,1,1,,3,,,,,1,2,,,,,,1
1995,Modeling Coordination in Software Construction: An Analytical Approach,1,1,Organization,"Creates a model for understanding coordination trade-offs involving time, size, & output",Nominal , technology as absent,software development theory,Organization,42,7,4,12,0.33,Exploitation,18,,,,,,,,,1,1,,,2,,1,2,,,1,1,,1,1,,1
1996,Information Technology in the Police Context: The ''Sailor'' Phone,1,2,Group,Qualitative analysis of the selective usage of messages to communicate to an audience in the police,Ensemble , technology as embedded system,Dramaturgical analysis (Goffman etc.),Group,59,7,6,12,0.5,Exploitation,17,,,,,,,,,,2,1,,1,1,,1,,,1,,1,,1,1,2
2011,Lu; Y.; and Ramamurthy; K. 2011. ÒUNDERSTANDING THE LINK BETWEEN INFORMATION TECHNOLOGY CAPABILITY AND ORGANIZATIONAL AGILITY: AN EMPIRICAL EXAMINATION;Ó MIS Quarterly (35:4); pp. 931_954.,1,1,Organization,"Drawing on prior literature, this study identitifies two types of organizational agility and conceptualizes IT capability as a latent construct reflected in 3 dimensions: IT infrastructure, IT business spanning capability, and IT proactive stance.  IV: IT capability moderated by IT spending; DV: Market capitalizing agility and operational adjustment agility.",Tool,"Technology as productivity, performance, enhancer",IT capability and organizational agility literatures,Organization,9,11,7,11,0.64,Exploration,2,,,,,,,,,,,,,,,,,,,,,,,2,6,3
2010,Dey; D.; Fan; M.; and Zhang; C. 2010. ÒDesign and Analysis of Contracts for Software Outsourcing;Ó Information Systems Research (21:1); pp. 93_114.,1,1,Market,Models the best possible contract type (fixed or variable) for software development outsourcing,Computational,Model,Contract theory,Market,15,11,7,11,0.64,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,,1,7,3
2005,Ji; Y.; Mookerjee; V. S.; and Sethi; S. P. 2005. ÒOptimal Software Development: A Control Theoretic Approach;Ó Information Systems Research (16:3); pp. 292_306.,1,2,Technical,Develops a model for the optimal distribution of software construction and debugging in order to create systems of the highest quality possible.,Computational,Model,Optimal control theory,Technical,14,10,6,10,0.6,Exploitation,8,,,,,,,,,,,,,,,,,,,,1,,3,4,2,
2010,Li; X.; and Hitt; L. 2010. ÒPRICE EFFECTS IN ONLINE PRODUCT REVIEWS: AN ANALYTICAL MODEL AND EMPIRICAL ANALYSIS;Ó MIS Quarterly (34:4); pp. 809_831.,1,1,Firm,Examines the impact of online product reviews on firm optimal pricing and consumer welfare.,Nominal,Technology as Absent,economics literature,NA,16,10,3,10,0.3,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,1,3,3,3
2011,Nan; N. (2011). CAPTURING BOTTOM-UP INFORMATION TECHNOLOGY USE PROCESSES: A COMPLEX ADAPTIVE SYSTEMS MODEL. MIS Quarterly; 35(2); 505_532.,1,2,Multilevel,The IT phenomenon is IT use (collective and individual). Uses simulation to translate Orlikowski's (1996) case study to a CAS model of use.,Ensemble,Technology as embedded system,Complex adaptive systems model,Multilevel,5,10,8,10,0.8,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,1,2,4,3
2001,Dutta; A. (2001). Business Planning for Network Services: A Systems Thinking Approach. Information Systems Research; 260_285.,1,2,Market,"Simulates markets for network services to see how various pricing strategies affect profitability and other financial metrics. Salient variables in the model are price, customers, quality, revenue, expenses, and capacity (of the network). These are structured in an interconnected network, so clear DVs and IVs cannot be discerned",Ensemble,Technology as production network,finite difference equation methodology of systems dynamics,Organization,27,7,4,9,0.44,Exploitation,12,,,,,,,,,,,,,,,2,1,,,2,1,1,,1,1,
2009,Cavusoglu; H.; and Raghunathan; S. 2009. ÒConfiguration of and Interaction Between Information Security Technologies: The Case of Firewalls and Intrusion Detection Systems;Ó Information Systems Research (20:2); pp. 198_217.,1,2,Organization,Evaluates the combination of several information security technologies in combination to see under what circumstances such combinations increase or decrease security,Tool,Technology as performance,Technical/economic research on information security technology,Organization,8,9,1,9,0.11,Exploitation,4,,,,,,,,,,,,,,,,,,,,,1,2,1,4,1
2010,Dewan; S.; Ganley; D.; and Kraemer; K. L. 2010. ÒComplementarities in the Diffusion of Personal Computers and the Internet: Implications for the Global Digital Divide;Ó Information Systems Research (21:4); pp. 925_940.,1,2,Market,"Examines codiffusion effects between PCs and internet access. The impact of PC on the diffussion of internet is stronger in developing countries, and therefore contribute to narrowing the digital divide.",Proxy,Technology as diffusion,Diffusion of innovations and global digital divide,Market,12,9,7,9,0.78,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,1,5,2,1
2010,Chellappa; R. K.; & Saraf; N. (2010). Alliances; Rivalry; and Firm Performance in Enterprise Systems Software Markets: A Social Network Approach. Information Systems Research; 21(4); 849_871. doi:10.1287/isre.1090.0278,1,2,Market,"Creates a SNA model to predict firm performance in IT markets. Important variables are revenue, firm size, firm prominence, SNA measures.",Nominal,Technology as absent,"Social network theory, standards driven competition (economics)",Market,12,9,4,9,0.44,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,,4,3,2
2011,Cheng; H. K.; Bandyopadhyay; S.; and Guo; H. 2011. ÒThe Debate on Net Neutrality: A Policy Perspective;Ó Information Systems Research (22:1); pp. 60_82.,1,2,Market,"Addresses two issues related to net-neutrality: who would gain/lose from abandoning net-neutrality, will service providers have greater incentive to expand capacity without net-neutrality?",Nominal,Technology as absent,Game theory,Market,66,9,4,9,0.44,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,4,3,2
2012,Kleis; L.; Chwelos; P.; Ramirez; R. V.; and Cockburn; I. 2012. ÒInformation Technology and Intangible Output: The Impact of IT Investment on Innovation Productivity;Ó Information Systems Research (23:1); pp. 42_59.,1,2,Organization,"Explains how innovation output, is created by R&D, IT, and knowledge production. IT is measured by capital",Proxy,Technology as capital,Innovation theory,Organization,12,9,3,9,0.33,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,3,4,2
2012,Brown; S. 2012. ÒExpectation confirmation in technology use;Ó Information Systems Research (23:2); p. 474+487.,1,,Individual,"Proposes and tests a model to explain ""the relationship among information systems expectations, experiences, and use.""",Proxy,Technology as Perception,"TAM, expectation theory",Individual,,9,5,9,0.56,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,1,3,5
2011,Xiao; B.; and Benbasat; I. 2011. ÒPRODUCT-RELATED DECEPTION IN E-COMMERCE: A THEORETICAL PERSPECTIVE;Ó MIS Quarterly (35:1); pp. 169_195.,1,,Individual,"""With the advent of e-commerce, the potential of new Internet technologies to mislead or deceive consumers has increased considerably. This paper extends prior classifications of deception and presents a typology of product-related deceptive information practices that illustrates the various ways in which online merchants can deceive consumers via e-commerce product websites.""",Ensemble,Technology as changing social relations,Deception in eCommerce,Individual,,8,4,8,0.5,Exploration,2,,,,,,,,,,,,,,,,,,,,,,,2,2,4
1998,Wong; P. 1998. ÒLeveraging the Global Information Revolution for Economic Development: SingaporeÕs Evolving Information Industry Strategy;Ó Information Systems Research (9:4); pp. 323_341.,0,,Market,"""This paper analyzed the structure and growth dynamics of Singapore's information industries us- ing an analytical framework that integrates the four key components of an information econ- omy: JCT goods industry, content industry, network infrastructure, and informatization. The paper identifies four generic stages in the development path of Singapore's information econ- omy and highlights policy implications for other small, open economies.""",Ensemble,Technology as changing social relations,Information Economy,Market,,3,4,8,0.5,Exploration,15,,,,,,,,,,,1,,,2,2,,,,,,1,1,1,,
2009,Bapna; R.; Chang; S.; Goes; P.; and Gupta; A. 2009. ÒOVERLAPPING ONLINE AUCTIONS: EMPIRICAL CHARACTERIZATION OF BIDDER STRATEGIES AND AUCTION PRICES;Ó MIS Quarterly (33:4); pp. 763_783.,1,1,Online Auction,"Examines how auction type, market (preceding overlapping auctions, following overlapping auctions, and market price bound), and bidder behavior (individual auction level and overall market level) influences auction price.",Nominal,Technology as Absent,auction literature,Auction,21,8,2,8,0.25,Exploration,4,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1
2007,Lee; D.; & Mendelson; H. (2007). Adoption of Information Technology Under Network Effects. Information Systems Research; 18(4); 395_413.,1,1,Market,"Builds a model to predict adoption of IT under network effects, dependent on first-mover advantage and proprietary/compatible technology.",Proxy,Technology as diffusion,Standardization and network effects,Market,23,8,3,8,0.38,Exploitation,6,,,,,,,,,,,,,,,,,,,,1,,3,4,,
2011,Singh; P.; Tan; Y.; and Mookerjee; V. 2011. ÒNETWORK EFFECTS: THE INFLUENCE OF STRUCTURAL CAPITAL ON OPEN SOURCE PROJECT SUCCESS;Ó MIS Quarterly (35:4); pp. 813_829.,1,1,Project,"Uses network data on projects and developers to investigate the impact of network social capital (internal cohesion, external cohesion, and technological diversity)on open source project success (knowledge creation).",Nominal,Technology as Absent,social networks,Network,20,8,6,8,0.75,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,1,2,5,
1994,Newman; J.; and Kozar; K. 1994. ÒA Multimedia Solution to Productivity Gridlock: A Re-Engineered Jewelry Appraisal System at Zale Corporation;Ó MIS Quarterly (March); pp. 21_31.,0,,Individual,"""an automated multimedia system utilizing elec- tronically linked measuring instruments, voice recognition, and interconnected LAN databases was developed.""",Ensemble,Technology as development project,-,-,,3,6,8,0.75,-,19,,,,,,1,,2,,,1,,,,1,,,1,,,1,1,,,
2010,Zhu; L.; Benbasat; I.; and Jiang; Z. 2010. ÒLetÕs Shop Online Together: An Empirical Investigation of Collaborative Online Shopping Support;Ó Information Systems Research (21:4); pp. 872_891.,1,,Group,"""It investigates two design components that are pertinent to collaborative online shopping support tools, namely, navigation support and communication support. Results from a laboratory experiment indicate that compared to separate navigation, shared navigation effectively reduces uncoupling (i.e., the loss of coordination with oneÕs shopping partner) incidents per product discussed and leads to fewer communication exchanges dedicated to resolving each uncoupling incident, thereby enhancing coordination performance. Compared""",Tool,Technology as enhancer,Collaborative work/common ground theory/media richness theory,Group,,7,4,7,0.57,Exploration,3,,,,,,,,,,,,,,,,,,,,,,,2,2,3
2011,Scheffel; T.; Pikovsky; A.; Bichler; M.; & Guler; K. (2011). An Experimental Comparison of Linear and Nonlinear Price Combinatorial Auctions. Information Systems Research; 22(2); 346_368. doi:10.1287/isre.1090.0267,1,1,Market,Compares linear and non-linear price auctions,Computational,Algorithm,Auction theory,Market,14,7,2,7,0.29,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,1,2,4,
2007,Davis; C.; and Hufnagel; E. 2007. ÒThrough the eyes of experts: A socio-cognitive perspective on the automation of fingerprint work;Ó MIS Quarterly (31:4); pp. 681_703.,1,,Individual,"""Our investigation reveals the important role the Finger Print Technicians occupationally defined values and norms played in structuring their existing work practices and the tensions produced by organizationally mandated efforts to restructure the logic of their expertise-based hierarchies.""",Nominal,Technology as absent,Personal construct theory and job characteristics theory,Individual,,7,6,7,0.86,Exploitation,6,,,,,,,,,,,,,,,,,,,1,,,1,1,2,2
1995,Using Treemaps to Visualize the Analytic Hierarchy Process,1,2,Technical,Analytical Hierarchy Process is enhanced through using treemaps for information visualization,Computational , model,AHP and treemap theory,Technical,59,3,3,6,0.5,Exploration,18,,,,,,,,,2,1,,,,,,,1,,1,,,,,1,
2007,Saar-Tsechansky; M.; and Provost; F. 2007. ÒDecision-Centric Active Learning of Binary-Outcome Models;Ó Information Systems Research (18:1); pp. 4_22.,1,1,Organization,Builds an active machine learning model that predicts consumer preferences,Computational,Algorithm,Active machine learning,Organization,23,6,1,6,0.17,Exploitation,6,,,,,,,,,,,,,,,,,,,1,3,1,,,1,
2012,Gefen; D.; and Pavlou; P. 2012. ÒThe Boundaries of Trust and Risk: The Quadratic Moderating Role of Institutional Structures;Ó Information Systems Research (23:3); p. 940+959.,1,,Individual,Develops a model of the quadratic effect of institutional arrangements on trust/risk perceptions in online market places,Nominal,Technology as absent,Institutional Theory,Organization,,6,4,6,0.67,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,2,4
