Year ,Type of Study,Journal,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Theory Borrowed (Yes/No),Primary (outside of IS) or Secondary (inside of IS) borrowing?,1_Classification: Exploitation/Exploration,2_Classification: Exploitation/Exploration,3_Classification: Exploitation/Exploration,4_Classification: Exploitation/Exploration,"Classification: instantiation, modifying, or extending","Magnitude: none, small, medium, large",Constructs/relationship/logic changed?,"If Not Borrowed, is Source Theory Inductive or Axiomatic?",Cannot be Classified (Notes),Comments,Why cited?,Age since 2013,Cites in first 5 years,Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,h1_intial_author_1,h1_2013_author_1,h1_intial_author_2,h1_2013_author_2,h1_intial_author_3,h1_2013_author_3,h1_intial_author_4,h1_2013_author_4,h1_intial_author_5,h1_2013_author_5,h1_initial_sum,h1_2013_sum,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
2006,Econometrics,MISQ,"Benaroch, M., Lichtenstein, Y., and Robinson, K. 2006. –Real Options in Information Technology Risk Management: An Empirical Validation of Risk- Option Relationships,” MIS Quarterly (30:4), pp. 827_864.",1,1,Organization,"This paper tests empirically the risk-option mappings posited by the option-based risk management (OBRiM) framework and, more generally, the theorized link between real options and IT risk management.  IV: risk factors; DV: embedded options",Nominal,Technology as Absent,Real options--Option-based risk management ,Organization,81,25,12,25,0.48,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,This paper tests only the relationship between the presence of various risk factors and the presence of different options in projects facing those risks in order to determine if the strategies IT managers use to manage different risks are consistent with the presence of real options.,,7,,3,2010,,,,,,,,,,,,,,,,,,1,5,4,3,3,3,6,,8,11,5,6,1,1,,,,,14,18,2006,MIS Quarterly: Management Information Systems,30,4,,827,864,,82,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33846021950&partnerID=40&md5=de159b383d3a14875f1cde7c8ceabad5,Article,Scopus,2-s2.0-33846021950
2008,Qualitative/Literature Synthesis,MISQ,"Kappos, A., & Rivard, S. (2008). A THREE-PERSPECTIVE MODEL OF CULTURE, INFORMATION SYSTEMS, AND THEIR DEVELOPMENT AND USE. MIS Quarterly, 32(3), 601_634.",1,3,Organization,"Develops a conceptualization of how culture influences, and is influenced by, IS development, use, and the IS itself. ",Ensemble,Technology as embedded system,Literature on culture/Structuration Theory,Organization,47,24,17,24,0.71,Yes,Primary,Exploitation,-,Exploitation,Exploitation,Instantiation,None,-,-,Synthesizes literature using qualitative methods,"Adopts three perspectives of culture to propose a model of the relationships between culture, development processes, use processes, and an IS.",,5,,1,2012,,,,,,,,,,,,,,,,,,,,,2,9,4,5,4,1,2,25,27,,,,,,,26,29,2008,MIS Quarterly: Management Information Systems,32,3,,601,634,,70,,http://www.scopus.com/inward/record.url?eid=2-s2.0-50249174046&partnerID=40&md5=0f3f19d5765c6d34db12b325f9b6797f,Review,Scopus,2-s2.0-50249174046
2011,Survey,MISQ,"Tallon, P., and Pinsonneault, A. 2011. –COMPETING PERSPECTIVES ON THE LINK BETWEEN STRATEGIC INFORMATION TECHNOLOGY ALIGNMENT AND ORGANIZATIONAL AGILITY: INSIGHTS FROM A MEDIATION MODEL,” MIS Quarterly (35:2), pp. 463_486.",1,,Organization,"""Whether alignment helps or hurts agility is an unresolved issue. This paper presents a variety of arguments from the literature that alternately predict a positive or negative relationship between alignment and agility. This relationship is then tested using a model in which agility mediates the link between alignment and firm performance under varying conditions of IT infrastructure flexibility and environmental volatility.""",Proxy,Technology as Perception,Alignment/Agility,Organization,,24,13,24,0.54,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,-,-,-,"An interesting empirical study which compares alternative arguments (opposing hypos), however, it is still just theory testing",,2,,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,9,11,10,10,21,22,,,,,,,31,32,2011,MIS Quarterly: Management Information Systems,35,2,,463,486,,120,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051777499&partnerID=40&md5=87aaa9348b1a32345625a32efc1e5893,Article,Scopus,2-s2.0-80051777499
2006,Survey,ISR,"Banker, R. D., Bardhan, I., and Asdemir, O. 2006. –Understanding the Impact of Collaboration Software on Product Design and Development,” Information Systems Research (17:4), pp. 352_373.",1,2,Group,"Examines the effect of collaboration software on product quality and cost, mediated by product design cycle time and collaboration",Tool,Technology as performance,Media richness theory and collaboration theory,Group,58,24,11,24,0.46,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"The IT artifact is right and center as the core IV, however, the article simply applies media richness theory to a new context",,7,,1,2012,,,,,,,,,,,,,,,,,,1,,,5,5,6,7,,41,42,9,14,1,2,,,,,51,58,2006,Information Systems Research,17,4,,352,373,,57,10.1287/isre.1060.0104,http://www.scopus.com/inward/record.url?eid=2-s2.0-33847021395&partnerID=40&md5=12b7a8cd2b8ac251697893b5a1170daf,Article,Scopus,2-s2.0-33847021395
2008,Experiment,ISR,"Santhanam, R., Sasidharan, S., and Webster, J. 2008. –Using Self-Regulatory Learning to Enhance E-Learning-Based Information Technology Training,” Information Systems Research (19:1), pp. 26_47.",1,1,Individual,Self-regulatory learning strategies increase learning outcomes in e-learning environments. ,Nominal,Technology as absent,Technology-Mediates Learning (TML),Individual,35,23,9,23,0.39,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Brings in a new concept (self-regulartory learning strategies) and applies it directly to TML,,5,,2,2011,,,,,,,,,,,,,,,,,,,,4,5,5,4,3,2,13,14,2,3,27,29,,,,,42,46,2008,Information Systems Research,19,1,,26,47,,52,10.1287/isre.1070.0141,http://www.scopus.com/inward/record.url?eid=2-s2.0-61349088607&partnerID=40&md5=de0374bdbf5fda7aeab14d83247fa04f,Article,Scopus,2-s2.0-61349088607
2007,Econometrics,ISR,"Dewan, S., and Ren, F. 2007. –Risk and Return of Information Technology Initiatives: Evidence from Electronic Commerce Announcements,” Information Systems Research (18:4), pp. 370_394.",1,,Market,"""risk effects associated with elec- tronic commerce announcements, contributing to the emerging research on the riskiness of IT investments and the trade-off between risk and return in the information systems literature. We estimate a generalized event study model that allows for both systematic and unsystematic risk changes on data collected for electronic com-merce announcements in the 1996-2002 time frame. A striking result emerging from our analysis is that wealth effects are not significant after controlling for contemporaneous risk changes.""",Nominal,Technology as absent,IT investments and risk,Market,,22,13,22,0.59,Yes,Secondary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,None,-,-,-,Event study related to ecommerce announcements. What's new here?,,6,,1,2012,,,,,,,,,,,,,,,,,,,,,,4,8,7,3,8,11,1,3,,,,,,,9,14,2007,Information Systems Research,18,4,,370,394,,50,10.1287/isre.1070.0120,http://www.scopus.com/inward/record.url?eid=2-s2.0-38549105750&partnerID=40&md5=62fd0b2f3da61eea79575b9c3e1191d1,Article,Scopus,2-s2.0-38549105750
1994,Qualitative,MISQ,"Zigurs, l., & Kenneth, A. (1994). An Exploratory Study of Roles in Computer-Supported Groups.¾MIS Quarterly,¾18(3), 277-297.",1,,Individual,Exploratory field study of the roles which individuals take on in computer-supported groups.,Nominal,Technology as absent,role theory,individual/group,,8,9,21,0.43,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,,,,Applies role theory in the context of computer-supported groups,,19,,10,2003,,,,,,,2,2,1,,2,1,1,2,2,,2,,1,,2,2,1,,,5,12,5,12,,,,,,,10,24,1994,MIS Quarterly: Management Information Systems,18,3,,277,297,,38,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000340263&partnerID=40&md5=a2cf3464be29d5aa5987a24754371ec7,Article,Scopus,2-s2.0-0000340263
2010,Survey,ISR,"Tiwana, A., and Konsynski, B. 2010. –Complementarities Between Organizational IT Architecture and Governance Structure,” Information Systems Research (21:2), pp. 288_304.",1,1,Organization,"Explains IT alignment in organizations through the antecedents IT architecture modularity, IT governance decentralization, and IT agility.",Tool,Technology as performance,Modular systems theory,Organization,22,19,13,19,0.68,Yes,Secondary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,None,-,-,-,Marginal improvement on systems theory and Simon's ideas,,3,,0,2013,,,,,,,,,,,,,,,,,,,,,1,,4,10,4,27,27,9,9,,,,,,,36,36,2010,Information Systems Research,21,2,,288,304,,53,10.1287/isre.1080.0206,http://www.scopus.com/inward/record.url?eid=2-s2.0-77957356995&partnerID=40&md5=4c18c2cd85ef9bd5a0a5695096993e06,Article,Scopus,2-s2.0-77957356995
2009,Experiment,ISR,"Mithas, S., and Krishnan, M. S. 2009. –From Association to Causation via a Potential Outcomes Approach,” Information Systems Research (20:2), pp. 295_313.",1,2,Market,Builds a model for assessing causality and distinguishing it from association using a potential outcomes approach. No specific IT context.,Nominal,Technology as absent,Econometrics,Market,27,19,9,19,0.47,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Transfers concepts from econometrics to a technology context,,4,,0,2013,,,,,,,,,,,,,,,,,,,,1,2,1,5,8,2,16,21,25,25,,,,,,,41,46,2009,Information Systems Research,20,2,,295,313,,32,10.1287/isre.1080.0184,http://www.scopus.com/inward/record.url?eid=2-s2.0-55949133489&partnerID=40&md5=b5e3ad75ddeeefbf519549a9427e551c,Article,Scopus,2-s2.0-55949133489
2006,Experiment,MISQ,"Nissen, M., and Sengupta, K. 2006. –Incorporating Software Agents into Supply Chains: Experimental Investigation with a Procurement Task,” MIS Quarterly (30:1), pp. 145_166.",1,2,Individual,"The authors take an experimental approach to to examine the capabilities and limitations of software agent technology for computer-based decision support and automation in the context of procurement.  IVs: Use of information retrieval agents, use of performative agents; DVs: procurement economy, accuracy",Tool,"Technology as productivity, performance, enhancer",(Agent) Behavioral Decision Theory,Individual,46,19,3,19,0.16,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,The relationships between use of software agents and procurement economy/accuracy are justified using behavioral decision theory.,,7,,3,2010,,,,,,,,,,,,,,,,,1,1,4,2,3,3,4,1,,7,7,9,11,,,,,,,16,18,2006,MIS Quarterly: Management Information Systems,30,1,,145,166,,43,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33845406559&partnerID=40&md5=e77ca4604a49572bb5f3eb14de0aaa74,Article,Scopus,2-s2.0-33845406559
1999,Theoretical,MISQ,"Smith, H., and Hasnas, J. 1999. –ETHICS AND INFORMATION SYSTEMS: THE CORPORATE DOMAIN,” MIS Quarterly (23:1), pp. 109_127.",1,-,Organization,"Applies stockholder theory, stakeholder theory, and social contract theory to Blockbuster",Nominal,Technology as absent,"stockholder theory, stakeholder theory, and social contract theory",Organization,82,12,8,16,0.5,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Simply applies theories to case study to illustrate their different contributions,,14,,3,2010,,,,,,,,,,,1,2,1,,,,1,,,1,4,2,1,2,1,2,14,1,6,,,,,,,3,20,1999,MIS Quarterly: Management Information Systems,23,1,,109,127,,54,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0007137976&partnerID=40&md5=f164c923d7c0f76bb364ce4438fe8111,Article,Scopus,2-s2.0-0007137976
1994,Analytical Modeling,ISR,Model Integration Using Metagraphs,1,2,Organization,Shows how metagraphs can be used to facilitate model integration,Computational, Model,Model integration & metagraphs,Organization,58,4,5,16,0.31,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,No,,,Integrates the construct of metagraph into model integration theory,,19,,14,1999,,,,,,1,1,3,2,1,1,,2,1,,,1,1,,1,,1,,,,6,13,10,13,,,,,,,16,26,1994,Information Systems Research,5,3,,195,218,,32,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000584949&partnerID=40&md5=966dfaea97b380fce78d281b2e485cd9,Article,Scopus,2-s2.0-0000584949
1996,Simulation,ISR,Alternative Securities Trading Systems: Tests and Regulatory Implications of the Adoption of Technology,1,2,Market,"Examines, through experimenation and simulation of different types of electronic trading systems",Nominal,Technology as absent,Economic theory,Market,49,8,8,15,0.53,Yes,Primary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,None,No,,,Economic theorizing in an IT setting,,17,,7,2006,,,,,,,,2,1,2,2,,,,,,2,,3,1,1,,,1,,17,27,6,12,,,,,,,23,39,1996,Information Systems Research,7,2,,163,188,,28,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030518607&partnerID=40&md5=d5537ae304b28bbeb394f3fecf717970,Article,Scopus,2-s2.0-0030518607
2011,Experiment,ISR,"Tsai, J. Y., Egelman, S., Cranor, L., and Acquisti, A. 2011. –The Effect of Online Privacy Information on Purchasing Behavior: An Experimental Study,” Information Systems Research (22:2), pp. 254_268.",1,2,Individual,"Examines how different levels of privacy in privacy policies on e-commerce websites can affect a buyer's purchasing habits - i.e. paying premium for privacy, buying more or less.",Tool,Information Processing,Consumer privacy theory,Individual,84,15,6,15,0.4,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"Transports a marketing theory into an IT context. While digital technology is not prominent, information and its distribution is central to each of the hypotheses",,2,,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,6,5,4,4,8,9,22,23,15,16,,,49,52,2011,Information Systems Research,22,2,,254,268,,87,10.1287/isre.1090.0260,http://www.scopus.com/inward/record.url?eid=2-s2.0-79957667271&partnerID=40&md5=18acfe2710c11d28215ecf00e88400ec,Article,Scopus,2-s2.0-79957667271
2000,Experiment,ISR,"Lim, K., Benbasat, I., and Ward, L. 2000. –The Role of Multimedia in Changing First Impression Bias,” Information Systems Research (11:2), pp. 115_136.",1,2,Individual,Examines through experiment the multimedia impact on first impression bias,Nominal,Technology as absent,First impression bias,Individual,52,11,5,15,0.33,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Tests first impression bias in a multimedia context,,13,,4,2009,,,,,,,,,,,,1,1,2,,3,,,,4,1,,1,1,1,4,16,33,54,22,32,,,,,59,102,2000,Information Systems Research,11,2,,115,136,,32,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0034392788&partnerID=40&md5=d617b7b6085a4fdc01072320383eb1ca,Article,Scopus,2-s2.0-0034392788
1999,Qualitative,MISQ,"Reich, B., and Kaarst-Brown, M. 1999. –•SEEDING THE LINEê: UNDERSTANDING THE TRANSITION FROM IT TO NON-IT CAREERS,” MIS Quarterly (23:3), pp. 337_364.",1,,Individual,"""The conclusion from the findings is that IT pro- fessionals who moved to non-IT jobs in the line made the transition without the benefit of delib- erate preparation, formal transition programs, or safety nets to reduce the risk. Some conditions existed at The Mutual Group that may have assisted them, including good relations between IT and the line, friends and mentors in line units, and a willingness to take risks in pursuit of new challenges.""",Nominal,Technology as absent,Multiple IT/work relationship frameworks,Organization,,9,12,14,0.86,Yes,Secondary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,-,-,-,-,"Simply shows how certain predictions from the literature are supported or not. Not supported by a holistic framework but rather by ""themes"" from the literature",,14,,4,2009,,,,,,,,,,,,,2,3,,1,,,,1,1,2,3,,1,4,16,2,6,,,,,,,6,22,1999,MIS Quarterly: Management Information Systems,23,3,,337,364,,29,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0037501808&partnerID=40&md5=b7983e4d80707698ee52769666c08606,Article,Scopus,2-s2.0-0037501808
2009,Qualitative,ISR,"Harris, M. L., Collins, R. W., and Hevner, A. R. 2009. –Control of Flexible Software Development Under Uncertainty,” Information Systems Research (20:3), pp. 400_419.",1,2,Organization,"How does market- and technology uncertainty lead to plan-driven development, controlled-flexible development or ad-hoc development, which in turn impacts product-market match in the context of software development",Ensemble,Technology as development project,Dynamic capabilities theory and control theory,Organization,26,14,11,14,0.79,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Uses familiar concepts in a tech context,,4,,1,2012,,,,,,,,,,,,,,,,,,,,2,,2,4,5,1,7,8,10,10,16,17,,,,,33,35,,,,,,,,,,,,,,
2011,Experiment,MISQ,"Wells, J., Valacich, J., and Hess, T. 2011. –WHAT SIGNAL ARE YOU SENDING? HOW WEBSITE QUALITY INFLUENCES PERCEPTIONS OF PRODUCT QUALITY AND PURCHASE INTENTIONS,” MIS Quarterly (35:2), pp. 373_396.",1,2,Individual,"Simple application of signalling theory to the context of B2C ecommerce. IVs : product information asymmetries; web site quality, signal credibility mediated by perceived product quality. DV=Intention to purchase",Proxy,Technology as Perception,Signalling Theory,Individual,15,14,8,14,0.57,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,No new conceptual development,,2,,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,8,2,11,11,32,32,7,7,,,,,50,50,2011,MIS Quarterly: Management Information Systems,35,2,,373,396,,68,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051731491&partnerID=40&md5=658fc6e2f099d7ea0bbd80295153cb81,Article,Scopus,2-s2.0-80051731491
1996,Qualitative,ISR,Information Technology in the Police Context: The ''Sailor'' Phone,1,2,Group,Qualitative analysis of the selective usage of messages to communicate to an audience in the police,Ensemble, technology as embedded system,Dramaturgical analysis (Goffman etc.),Group,59,7,6,12,0.5,Yes,Primary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,Small,No,,,Puts a technology spin on dramaturgy,,17,,8,2005,,,,,,,,,,2,1,,1,1,,1,,,1,,1,,1,1,2,2,7,,,,,,,,,2,7,1996,Information Systems Research,7,1,,52,62,,31,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0030500757&partnerID=40&md5=134972681e679687912a69dd91c2e31b,Article,Scopus,2-s2.0-0030500757
1995,Simulation,ISR,Modeling Coordination in Software Construction: An Analytical Approach,1,1,Organization,"Creates a model for understanding coordination trade-offs involving time, size, & output",Nominal, technology as absent,software development theory,Organization,42,7,4,12,0.33,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,No,,,Computationalapproach is interesting but novel theorizing is minimal. Mostly testing of a model containing insights already known,,18,,8,2005,,,,,,,,,1,1,,,2,,1,2,,,1,1,,1,1,,1,1,2,3,15,,,,,,,4,17,1995,Information Systems Research,6,3,,220,254,,28,,http://www.scopus.com/inward/record.url?eid=2-s2.0-21344461152&partnerID=40&md5=5f3721b0f6e824baf2202ea184d31311,Article,Scopus,2-s2.0-21344461152
2010,Simulation,ISR,"Dey, D., Fan, M., and Zhang, C. 2010. –Design and Analysis of Contracts for Software Outsourcing,” Information Systems Research (21:1), pp. 93_114.",1,1,Market,Models the best possible contract type (fixed or variable) for software development outsourcing,Computational,Model,Contract theory,Market,15,11,7,11,0.64,Yes,Primary,Exploitation,Exploration,Exploitation,Exploitation,Instantiation,None,-,-,-,"Develops a Computationalmodel to assess which type of contract is the best for a given size of a project. IT artifact largely absent, even if the model developed represents a detailed information  artifact",,3,,0,2013,,,,,,,,,,,,,,,,,,,,,,,1,7,3,12,12,11,12,1,1,,,,,24,25,2010,Information Systems Research,21,1,,93,114,,24,10.1287/isre.1080.0223,http://www.scopus.com/inward/record.url?eid=2-s2.0-77954267779&partnerID=40&md5=b429e9b995a9748ea29733d8b69830f9,Article,Scopus,2-s2.0-77954267779
2011,Simulation,MISQ,"Nan, N. (2011). CAPTURING BOTTOM-UP INFORMATION TECHNOLOGY USE PROCESSES: A COMPLEX ADAPTIVE SYSTEMS MODEL. MIS Quarterly, 35(2), 505_532.",1,2,Multilevel,The IT phenomenon is IT use (collective and individual). Uses simulation to translate Orlikowski's (1996) case study to a CAS model of use.,Ensemble,Technology as embedded system,Complex adaptive systems model,Multilevel,5,10,8,10,0.8,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Directly applies CAS to IT use. Flow is one-way from exernal theory to IS phenomenon. Contribution is the ABM and theory-testing,,2,,0,2013,,,,,,,,,,,,,,,,,,,,,,1,2,4,3,7,7,,,,,,,,,7,7,2011,MIS Quarterly: Management Information Systems,35,2,,505,532,,48,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051778081&partnerID=40&md5=f886cffbee511269ad929117bee307b9,Review,Scopus,2-s2.0-80051778081
2005,Simulation,ISR,"Ji, Y., Mookerjee, V. S., and Sethi, S. P. 2005. –Optimal Software Development: A Control Theoretic Approach,” Information Systems Research (16:3), pp. 292_306.",1,2,Technical,Develops a model for the optimal distribution of software construction and debugging in order to create systems of the highest quality possible.,Computational,Model,Optimal control theory,Technical,14,10,6,10,0.6,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"Mainly mathematical analysis, software development might be substituted for something different, say project management",,8,,1,2012,,,,,,,,,,,,,,,,,,,,1,,3,4,2,,1,4,12,15,33,36,,,,,46,55,,,,,,,,,,,,,,
2010,Analytical Modeling/Econometrics,MISQ,"Li, X., and Hitt, L. 2010. –PRICE EFFECTS IN ONLINE PRODUCT REVIEWS: AN ANALYTICAL MODEL AND EMPIRICAL ANALYSIS,” MIS Quarterly (34:4), pp. 809_831.",1,1,Firm,Examines the impact of online product reviews on firm optimal pricing and consumer welfare.,Nominal,Technology as Absent,economics literature,NA,16,10,3,10,0.3,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,I'm not sure really what to make of this paper. It's based on economics thinking but no clear source theory.,,3,,0,2013,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,2,7,23,25,,,,,,,25,32,2010,MIS Quarterly: Management Information Systems,34,4,,809,831,,35,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79953286902&partnerID=40&md5=01417d59cb3b7d9db24da00ed989ab12,Article,Scopus,2-s2.0-79953286902
2010,Econometrics,ISR,"Dewan, S., Ganley, D., and Kraemer, K. L. 2010. –Complementarities in the Diffusion of Personal Computers and the Internet: Implications for the Global Digital Divide,” Information Systems Research (21:4), pp. 925_940.",1,2,Market,"Examines codiffusion effects between PCs and internet access. The impact of PC on the diffussion of internet is stronger in developing countries, and therefore contribute to narrowing the digital divide.",Proxy,Technology as diffusion,Diffusion of innovations and global digital divide,Market,12,9,7,9,0.78,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"Examines the effect of connected innovations in a technology contexts, but adds nothing new to the source theory",,3,,1,2012,,,,,,,,,,,,,,,,,,,,,,1,5,2,1,9,11,3,4,35,35,,,,,47,50,2010,Information Systems Research,21,4,,925,940,,25,10.1287/isre.1080.0219,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650652112&partnerID=40&md5=760a282398539cb75916adef22ddd69d,Article,Scopus,2-s2.0-78650652112
2012,Survey,ISR,"Brown, S. 2012. –Expectation confirmation in technology use,” Information Systems Research (23:2), p. 474+487.",1,,Individual,"Proposes and tests a model to explain ""the relationship among information systems expectations, experiences, and use.""",Proxy,Technology as Perception,"TAM, expectation theory",Individual,,9,5,9,0.56,Yes,Secondary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Integrates well known concepts from IS and psychology and tests them,,1,,-1,2014,,,,,,,,,,,,,,,,,,,,,,,1,3,5,18,19,,,,,,,,,18,19,2012,Information Systems Research,23,2,,474,487,,16,10.1287/isre.1110.0357,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871287970&partnerID=40&md5=aaf6803059a0d36d59539c715806ac0a,Article,Scopus,2-s2.0-84871287970
2001,Simulation,ISR,"Dutta, A. (2001). Business Planning for Network Services: A Systems Thinking Approach. Information Systems Research, 260_285.",1,2,Market,"Simulates markets for network services to see how various pricing strategies affect profitability and other financial metrics. Salient variables in the model are price, customers, quality, revenue, expenses, and capacity (of the network). These are structured in an interconnected network, so clear DVs and IVs cannot be discerned",Ensemble,Technology as production network,finite difference equation methodology of systems dynamics,Organization,27,7,4,9,0.44,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"The systems dynamics model is borrowed, but the specifics are theorized in the article. However, they are on a much more specific level and the flow is only from the source theory to IS.",,12,,5,2008,,,,,,,,,,,,,,,2,1,,,2,1,1,,1,1,,10,13,,,,,,,,,10,13,2001,Information Systems Research,12,3,,260,283,,31,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0035621068&partnerID=40&md5=86d14acdb77b2a3313d75800e73914cc,Article,Scopus,2-s2.0-0035621068
2010,Econometrics,ISR,"Chellappa, R. K., & Saraf, N. (2010). Alliances, Rivalry, and Firm Performance in Enterprise Systems Software Markets: A Social Network Approach. Information Systems Research, 21(4), 849_871. doi:10.1287/isre.1090.0278",1,2,Market,"Creates a SNA model to predict firm performance in IT markets. Important variables are revenue, firm size, firm prominence, SNA measures.",Nominal,Technology as absent,"Social network theory, standards driven competition (economics)",Market,12,9,4,9,0.44,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Explains a specific economic phenomenon in an IT context. Marginal contribution,,3,,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,3,2,9,9,3,5,,,,,,,12,14,,,,,,,,,,,,,,
2011,Analytical Modeling,ISR,"Cheng, H. K., Bandyopadhyay, S., and Guo, H. 2011. –The Debate on Net Neutrality: A Policy Perspective,” Information Systems Research (22:1), pp. 60_82.",1,2,Market,"Addresses two issues related to net-neutrality: who would gain/lose from abandoning net-neutrality, will service providers have greater incentive to expand capacity without net-neutrality?",Nominal,Technology as absent,Game theory,Market,66,9,4,9,0.44,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Adapts game theory to IT context,,2,,0,2013,,,,,,,,,,,,,,,,,,,,,,,4,3,2,13,13,9,9,3,3,,,,,25,25,2011,Information Systems Research,22,1,,60,82,,40,10.1287/isre.1090.0257,http://www.scopus.com/inward/record.url?eid=2-s2.0-78751624039&partnerID=40&md5=d81ed4f1edc0fcc6c6f50ddeff2d2b32,Article,Scopus,2-s2.0-78751624039
2012,Econometrics,ISR,"Kleis, L., Chwelos, P., Ramirez, R. V., and Cockburn, I. 2012. –Information Technology and Intangible Output: The Impact of IT Investment on Innovation Productivity,” Information Systems Research (23:1), pp. 42_59.",1,2,Organization,"Explains how innovation output, is created by R&D, IT, and knowledge production. IT is measured by capital",Proxy,Technology as capital,Innovation theory,Organization,12,9,3,9,0.33,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"Marginal contribution, IT largely abscrent (proxy)",,1,,0,2013,,,,,,,,,,,,,,,,,,,,,,,3,4,2,1,1,4,4,4,5,22,22,,,31,32,2012,Information Systems Research,23,1,,42,59,,42,10.1287/isre.1100.0338,http://www.scopus.com/inward/record.url?eid=2-s2.0-84862658693&partnerID=40&md5=463620e8f1b8625471f63e8f9a8aa7cc,Article,Scopus,2-s2.0-84862658693
